date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:36:16	88024/88024	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:36:12%20GMT	http://103.145.63.69:83/bai-viet/tham-gia-thu-thach-moc-1000-soi-toc-cung-tinh-dau-buoi-huong-nhu-1.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/bai-viet/tham-gia-thu-thach-moc-1000-soi-toc-cung-tinh-dau-buoi-huong-nhu-1.html	(from http://103.145.63.69:83/)
19:36:50	189995/189995	---M--	200	added ('OK')	image/jpeg	etag:%222e62b-5e3568f474331%22	http://103.145.63.69:83/uploads/images/z3518843045292_d78d7f63dd9218d1b2b0cb52a236371f.jpg	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/uploads/images/z3518843045292_d78d7f63dd9218d1b2b0cb52a236371f.jpg	(from http://103.145.63.69:83/)
19:36:55	91316/91316	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:36:50%20GMT	http://103.145.63.69:83/bai-viet/lam-sao-de-toc-nhanh-dai-voi-vitamin-b1-2.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/bai-viet/lam-sao-de-toc-nhanh-dai-voi-vitamin-b1-2.html	(from http://103.145.63.69:83/)
19:36:58	272905/272905	---M--	200	added ('OK')	image/png	etag:%2242a09-5e1621a26ca84%22	http://103.145.63.69:83/uploads/images/e4b119e72b1b4c5f84be28c0e9e4b9eb.png	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/uploads/images/e4b119e72b1b4c5f84be28c0e9e4b9eb.png	(from http://103.145.63.69:83/)
19:37:03	95697/95697	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:36:59%20GMT	http://103.145.63.69:83/bai-viet/12-vi-tri-moc-mun-canh-bao-suc-khoe-dang-co-van-de-3.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/bai-viet/12-vi-tri-moc-mun-canh-bao-suc-khoe-dang-co-van-de-3.html	(from http://103.145.63.69:83/)
19:37:11	457312/457312	---M--	200	added ('OK')	image/jpeg	etag:%226fa60-5e292fde05789%22	http://103.145.63.69:83/uploads/images/shopee-04.jpg	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/uploads/images/shopee-04.jpg	(from http://103.145.63.69:83/)
19:37:15	88832/88832	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:37:11%20GMT	http://103.145.63.69:83/bai-viet/nen-dung-kem-chong-nang-vat-ly-hay-hoa-hoc-4.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/bai-viet/nen-dung-kem-chong-nang-vat-ly-hay-hoa-hoc-4.html	(from http://103.145.63.69:83/)
19:37:28	186244/186244	---M--	200	added ('OK')	image/jpeg	etag:%222d784-5e35697b3de0c%22	http://103.145.63.69:83/uploads/images/z3341458814503_b5fdd644789cd2c8ca0924aeb82c67c7.jpg	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/uploads/images/z3341458814503_b5fdd644789cd2c8ca0924aeb82c67c7.jpg	(from http://103.145.63.69:83/)
19:37:30	150859/150859	---M--	200	added ('OK')	image/jpeg	etag:%2224d4b-5e35b69247180%22	http://103.145.63.69:83/uploads/images/z3341634781866_20081ec4997e22f07394882fd06c36fb.jpg	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/uploads/images/z3341634781866_20081ec4997e22f07394882fd06c36fb.jpg	(from http://103.145.63.69:83/)
19:37:34	90359/90359	---MC-	200	added ('OK')	text/html	date:Tue,%2020%20Sep%202022%2012:37:28%20GMT	http://103.145.63.69:83/bai-viet/lam-mat-na-u-toc-tu-qua-bo-5.html	/Users/macone/Desktop/thaomocxua-1/mocthaoxua_render/103.145.63.69_83/bai-viet/lam-mat-na-u-toc-tu-qua-bo-5.html	(from http://103.145.63.69:83/)
